Date,Series,Value
2009-06-05,MSNBC,0
2009-06-06,MSNBC,0
2009-06-07,MSNBC,0
2009-06-08,MSNBC,0
2009-06-09,MSNBC,0
2009-06-10,MSNBC,0
2009-06-11,MSNBC,0
2009-06-12,MSNBC,0
2009-06-13,MSNBC,0
2009-06-14,MSNBC,0
2009-06-15,MSNBC,0
2009-06-16,MSNBC,0
2009-06-17,MSNBC,0
2009-06-18,MSNBC,0
2009-06-19,MSNBC,0
2009-06-20,MSNBC,0
2009-06-21,MSNBC,0
2009-06-22,MSNBC,0
2009-06-23,MSNBC,0
2009-06-24,MSNBC,0
2009-06-25,MSNBC,0
2009-06-26,MSNBC,0
2009-06-27,MSNBC,0
2009-06-28,MSNBC,0
2009-06-29,MSNBC,0
2009-06-30,MSNBC,0
2009-07-01,MSNBC,0
2009-07-02,MSNBC,0
2009-07-03,MSNBC,0
2009-07-04,MSNBC,0
2009-07-05,MSNBC,0
2009-07-06,MSNBC,0
2009-07-07,MSNBC,0
2009-07-08,MSNBC,0
2009-07-09,MSNBC,0
2009-07-10,MSNBC,0.0304
2009-07-11,MSNBC,0
2009-07-12,MSNBC,0.0874
2009-07-13,MSNBC,0.1413
2009-07-14,MSNBC,0.0268
2009-07-15,MSNBC,0
2009-07-16,MSNBC,0.0554
2009-07-17,MSNBC,0
2009-07-18,MSNBC,0
2009-07-19,MSNBC,0
2009-07-20,MSNBC,0
2009-07-21,MSNBC,0.0281
2009-07-22,MSNBC,0.1124
2009-07-23,MSNBC,0
2009-07-24,MSNBC,0
2009-07-25,MSNBC,0
2009-07-26,MSNBC,0
2009-07-27,MSNBC,0
2009-07-28,MSNBC,0
2009-07-29,MSNBC,0
2009-07-30,MSNBC,0
2009-07-31,MSNBC,0
2009-08-01,MSNBC,0
2009-08-02,MSNBC,0
2009-08-03,MSNBC,0
2009-08-04,MSNBC,0.0285
2009-08-05,MSNBC,0.0278
2009-08-06,MSNBC,0
2009-08-07,MSNBC,0
2009-08-08,MSNBC,0
2009-08-09,MSNBC,0
2009-08-10,MSNBC,0
2009-08-11,MSNBC,0
2009-08-12,MSNBC,0.0275
2009-08-13,MSNBC,0
2009-08-14,MSNBC,0
2009-08-15,MSNBC,0
2009-08-16,MSNBC,0
2009-08-17,MSNBC,0.0694
2009-08-18,MSNBC,0.1107
2009-08-19,MSNBC,0.0551
2009-08-20,MSNBC,0
2009-08-21,MSNBC,0
2009-08-22,MSNBC,0
2009-08-23,MSNBC,0
2009-08-24,MSNBC,0
2009-08-25,MSNBC,0
2009-08-26,MSNBC,0.1335
2009-08-27,MSNBC,0.0291
2009-08-28,MSNBC,0
2009-08-29,MSNBC,0
2009-08-30,MSNBC,0
2009-08-31,MSNBC,0
2009-09-01,MSNBC,0
2009-09-02,MSNBC,0
2009-09-03,MSNBC,0.1320
2009-09-04,MSNBC,0.0813
2009-09-05,MSNBC,0
2009-09-06,MSNBC,0
2009-09-07,MSNBC,0
2009-09-08,MSNBC,0
2009-09-09,MSNBC,0.0271
2009-09-10,MSNBC,0
2009-09-11,MSNBC,0
2009-09-12,MSNBC,0
2009-09-13,MSNBC,0
2009-09-14,MSNBC,0
2009-09-15,MSNBC,0
2009-09-16,MSNBC,0
2009-09-17,MSNBC,0
2009-09-18,MSNBC,0
2009-09-19,MSNBC,0
2009-09-20,MSNBC,0
2009-09-21,MSNBC,0
2009-09-22,MSNBC,0
2009-09-23,MSNBC,0
2009-09-24,MSNBC,0.0275
2009-09-25,MSNBC,0.0268
2009-09-26,MSNBC,0
2009-09-27,MSNBC,0
2009-09-28,MSNBC,0
2009-09-29,MSNBC,0
2009-09-30,MSNBC,0.0848
2009-10-01,MSNBC,0
2009-10-02,MSNBC,0
2009-10-03,MSNBC,0
2009-10-04,MSNBC,0
2009-10-05,MSNBC,0.0357
2009-10-06,MSNBC,0
2009-10-07,MSNBC,0
2009-10-08,MSNBC,0.0281
2009-10-09,MSNBC,0
2009-10-10,MSNBC,0
2009-10-11,MSNBC,0
2009-10-12,MSNBC,0
2009-10-13,MSNBC,0
2009-10-14,MSNBC,0
2009-10-15,MSNBC,0.0824
2009-10-16,MSNBC,0
2009-10-17,MSNBC,0
2009-10-18,MSNBC,0
2009-10-19,MSNBC,0.0358
2009-10-20,MSNBC,0
2009-10-21,MSNBC,0
2009-10-22,MSNBC,0
2009-10-23,MSNBC,0
2009-10-24,MSNBC,0
2009-10-25,MSNBC,0
2009-10-26,MSNBC,0
2009-10-27,MSNBC,0
2009-10-28,MSNBC,0
2009-10-29,MSNBC,0
2009-10-30,MSNBC,0
2009-10-31,MSNBC,0
2009-11-01,MSNBC,0
2009-11-02,MSNBC,0
2009-11-03,MSNBC,0
2009-11-04,MSNBC,0
2009-11-05,MSNBC,0
2009-11-06,MSNBC,0
2009-11-07,MSNBC,0
2009-11-08,MSNBC,0
2009-11-09,MSNBC,0
2009-11-10,MSNBC,0
2009-11-11,MSNBC,0
2009-11-12,MSNBC,0
2009-11-13,MSNBC,0
2009-11-14,MSNBC,0
2009-11-15,MSNBC,0
2009-11-16,MSNBC,0
2009-11-17,MSNBC,0
2009-11-18,MSNBC,0
2009-11-19,MSNBC,0
2009-11-20,MSNBC,0
2009-11-21,MSNBC,0
2009-11-22,MSNBC,0
2009-11-23,MSNBC,0
2009-11-24,MSNBC,0.1663
2009-11-25,MSNBC,0.0562
2009-11-26,MSNBC,0
2009-11-27,MSNBC,0
2009-11-28,MSNBC,0
2009-11-29,MSNBC,0
2009-11-30,MSNBC,0
2009-12-01,MSNBC,0
2009-12-02,MSNBC,0
2009-12-03,MSNBC,0
2009-12-04,MSNBC,0
2009-12-05,MSNBC,0
2009-12-06,MSNBC,0
2009-12-07,MSNBC,0
2009-12-08,MSNBC,0
2009-12-09,MSNBC,0
2009-12-10,MSNBC,0
2009-12-11,MSNBC,0
2009-12-12,MSNBC,0
2009-12-13,MSNBC,0
2009-12-14,MSNBC,0
2009-12-15,MSNBC,0
2009-12-16,MSNBC,0
2009-12-17,MSNBC,0
2009-12-18,MSNBC,0
2009-12-19,MSNBC,0
2009-12-20,MSNBC,0
2009-12-21,MSNBC,0
2009-12-22,MSNBC,0
2009-12-23,MSNBC,0
2009-12-24,MSNBC,0
2009-12-25,MSNBC,0
2009-12-26,MSNBC,0
2009-12-27,MSNBC,0
2009-12-28,MSNBC,0
2009-12-29,MSNBC,0
2009-12-30,MSNBC,0
2009-12-31,MSNBC,0
2010-01-01,MSNBC,0
2010-01-02,MSNBC,0
2010-01-03,MSNBC,0
2010-01-04,MSNBC,0
2010-01-05,MSNBC,0
2010-01-06,MSNBC,0
2010-01-07,MSNBC,0
2010-01-08,MSNBC,0
2010-01-09,MSNBC,0
2010-01-10,MSNBC,0
2010-01-11,MSNBC,0
2010-01-12,MSNBC,0
2010-01-13,MSNBC,0
2010-01-14,MSNBC,0
2010-01-15,MSNBC,0
2010-01-16,MSNBC,0
2010-01-17,MSNBC,0
2010-01-18,MSNBC,0.1446
2010-01-19,MSNBC,0.0945
2010-01-20,MSNBC,0
2010-01-21,MSNBC,0
2010-01-22,MSNBC,0
2010-01-23,MSNBC,0
2010-01-24,MSNBC,0
2010-01-25,MSNBC,0
2010-01-26,MSNBC,0
2010-01-27,MSNBC,0
2010-01-28,MSNBC,0
2010-01-29,MSNBC,0.0266
2010-01-30,MSNBC,0
2010-01-31,MSNBC,0
2010-02-01,MSNBC,0
2010-02-02,MSNBC,0
2010-02-03,MSNBC,0
2010-02-04,MSNBC,0
2010-02-05,MSNBC,0
2010-02-06,MSNBC,0
2010-02-07,MSNBC,0
2010-02-08,MSNBC,0
2010-02-09,MSNBC,0.0261
2010-02-10,MSNBC,0
2010-02-11,MSNBC,0
2010-02-12,MSNBC,0
2010-02-13,MSNBC,0
2010-02-14,MSNBC,0
2010-02-15,MSNBC,0
2010-02-16,MSNBC,0
2010-02-17,MSNBC,0.1018
2010-02-18,MSNBC,0.0297
2010-02-19,MSNBC,0
2010-02-20,MSNBC,0
2010-02-21,MSNBC,0
2010-02-22,MSNBC,0
2010-02-23,MSNBC,0
2010-02-24,MSNBC,0
2010-02-25,MSNBC,0
2010-02-26,MSNBC,0
2010-02-27,MSNBC,0
2010-02-28,MSNBC,0
2010-03-01,MSNBC,0
2010-03-02,MSNBC,0.0529
2010-03-03,MSNBC,0.0529
2010-03-04,MSNBC,0
2010-03-05,MSNBC,0
2010-03-06,MSNBC,0
2010-03-07,MSNBC,0
2010-03-08,MSNBC,0
2010-03-09,MSNBC,0
2010-03-10,MSNBC,0
2010-03-11,MSNBC,0.0265
2010-03-12,MSNBC,0
2010-03-13,MSNBC,0
2010-03-14,MSNBC,0
2010-03-15,MSNBC,0
2010-03-16,MSNBC,0
2010-03-17,MSNBC,0
2010-03-18,MSNBC,0
2010-03-19,MSNBC,0
2010-03-20,MSNBC,0
2010-03-21,MSNBC,0
2010-03-22,MSNBC,0
2010-03-23,MSNBC,0
2010-03-24,MSNBC,0
2010-03-25,MSNBC,0
2010-03-26,MSNBC,0
2010-03-27,MSNBC,0
2010-03-28,MSNBC,0
2010-03-29,MSNBC,0
2010-03-30,MSNBC,0
2010-03-31,MSNBC,0.0788
2010-04-01,MSNBC,0
2010-04-02,MSNBC,0
2010-04-03,MSNBC,0
2010-04-04,MSNBC,0
2010-04-05,MSNBC,0
2010-04-06,MSNBC,0
2010-04-07,MSNBC,0
2010-04-08,MSNBC,0.0524
2010-04-09,MSNBC,0
2010-04-10,MSNBC,0
2010-04-11,MSNBC,0
2010-04-12,MSNBC,0
2010-04-13,MSNBC,0
2010-04-14,MSNBC,0
2010-04-15,MSNBC,0
2010-04-16,MSNBC,0.0283
2010-04-17,MSNBC,0
2010-04-18,MSNBC,0
2010-04-19,MSNBC,0.0678
2010-04-20,MSNBC,0
2010-04-21,MSNBC,0.1060
2010-04-22,MSNBC,0.0263
2010-04-23,MSNBC,0
2010-04-24,MSNBC,0
2010-04-25,MSNBC,0
2010-04-26,MSNBC,0
2010-04-27,MSNBC,0
2010-04-28,MSNBC,0
2010-04-29,MSNBC,0
2010-04-30,MSNBC,0
2010-05-01,MSNBC,0
2010-05-02,MSNBC,0
2010-05-03,MSNBC,0
2010-05-04,MSNBC,0
2010-05-05,MSNBC,0.0538
2010-05-06,MSNBC,0
2010-05-07,MSNBC,0.0264
2010-05-08,MSNBC,0
2010-05-09,MSNBC,0
2010-05-10,MSNBC,0
2010-05-11,MSNBC,0
2010-05-12,MSNBC,0
2010-05-13,MSNBC,0.0270
2010-05-14,MSNBC,0.0539
2010-05-15,MSNBC,0.2302
2010-05-16,MSNBC,0
2010-05-17,MSNBC,0
2010-05-18,MSNBC,0
2010-05-19,MSNBC,0
2010-05-20,MSNBC,0
2010-05-21,MSNBC,0
2010-05-22,MSNBC,0
